301, 3546, 3733, 4133, 4937, 5027, 5432, 5984, 6174, 9078, 
10058, 13268, 13953, 14135, 15121, 16963, 18032, 19125, 19151, 19989, 
20521, 20725, 21690, 23817, 26331, 27155, 27287, 27922, 28095, 28674, 
29416, 29831, 30325, 31405, 31539, 31569, 32034, 32407, 35708, 37050, 
40100, 40196, 40453, 40874, 41335, 42068, 43386, 44342, 44841, 45116, 
45609, 47351, 48772, 48929, 49453, 49925, 50690, 52573, 52784, 54869, 
54953, 54961, 55135, 57641, 59271, 59315, 61230, 61962, 62869, 64442, 
65598, 66311, 66998, 67001, 68501, 69172, 70572, 73335, 76435, 76549, 
80154, 80704, 81012, 81271, 82868, 83186, 83917, 87509, 88579, 88728, 
89305, 89316, 89498, 89826, 90669, 93873, 96405, 96544, 97853, 98876
